gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=HMGCS1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of HMGCS1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:25445723,"CTD raw direct-DINP filter; raw_gene_symbol=HSD17B3; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of HSD17B3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:25445723,"CTD raw direct-DINP filter; raw_gene_symbol=HSD3B1; species=Rattus norvegicus (n=2); actions=decreases^expression (n=2); representative_interactions=diisononyl phthalate results in decreased expression of HSD3B1 mRNA || diisononyl phthalate results in decreased expression of HSD3B1 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSDL2,hydroxysteroid dehydrogenase like 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.062,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1384244_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000149; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSPA9,heat shock protein family A (Hsp70) member 9,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=HSPA9; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of HSPA9 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSPB6,heat shock protein family B (small) member 6,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=HSPB6; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of HSPB6 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
HSPB7,heat shock protein family B (small) member 7,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=HSPB7; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of HSPB7 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37810885,"CTD raw direct-DINP filter; raw_gene_symbol=IDH3G; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of IDH3G mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IFNG,interferon gamma,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected | downregulated,Mus musculus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:20064775,"CTD raw direct-DINP filter; raw_gene_symbol=IFNG; species=Mus musculus (n=2); actions=affects^expression (n=1); decreases^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of IFNG protein || diisononyl phthalate results in decreased expression of IFNG protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL13,interleukin 13,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:28240277,"CTD raw direct-DINP filter; raw_gene_symbol=IL13; species=Mus musculus (n=1); actions=increases^expression (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased expression of IL13 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL18,interleukin 18,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:41712757,"CTD raw direct-DINP filter; raw_gene_symbol=IL18; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of IL18 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL1A,interleukin 1 alpha,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31230093,"CTD raw direct-DINP filter; raw_gene_symbol=IL1A; species=Sparus aurata (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of IL1A mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL1B,interleukin 1 beta,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated | upregulated,Mus musculus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:41712757,"CTD raw direct-DINP filter; raw_gene_symbol=IL1B; species=Mus musculus (n=2); actions=decreases^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of IL1B mRNA || diisononyl phthalate results in increased expression of IL1B mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL4,interleukin 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:20064775; PMID:27863430,"CTD raw direct-DINP filter; raw_gene_symbol=IL4; species=Mus musculus (n=2); actions=increases^expression (n=2); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased expression of IL4 protein] || diisononyl phthalate results in increased expression of IL4 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL5,interleukin 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:27863430,"CTD raw direct-DINP filter; raw_gene_symbol=IL5; species=Mus musculus (n=1); actions=increases^expression (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased expression of IL5 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL6,interleukin 6,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),No direct chemical binding asserted; downstream molecular response,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:28240277,"CTD raw direct-DINP filter; raw_gene_symbol=IL6; species=Mus musculus (n=1); actions=increases^expression (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased expression of IL6 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ING5,inhibitor of growth family member 5,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:37810885,"CTD raw direct-DINP filter; raw_gene_symbol=ING5; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ING5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
